type,lookup, time, targets
native,1.412962,0.8795021,12
native,1.110045,0.6004449,14
native,1.267538,1.183169,8
native,1.862367,1.294095,8
native,1.404337,0.6463269,13
native,1.239727,0.8072466,0
native,0.9335897,0.4971108,28
native,1.755714,1.765778,12
native,0.8288125,0.8298329,18
native,1.089275,0.7215117,23
native,1.06852,0.6049738,25
native,2.142767,0.9315621,13
native,1.556724,1.014177,7
native,1.247008,0.8211203,17
native,0.9546239,1.487993,11
native,1.882131,1.037908,18
native,1.125155,0.3573525,23
native,1.118107,0.6373711,22
native,1.466482,2.79981,8
native,1.296136,0.6140125,23
native,1.0493,1.217867,18
native,1.110749,0.7145991,18
native,1.141827,0.4987629,27
native,1.025182,0.5988215,19
native,1.116088,0.3789883,24
phone,1.177506,0.238117,25
phone,1.090275,0.435082,23
phone,1.214184,0.388879,21
phone,2.631414,0.5788661,14
phone,1.982335,0.3525393,19
phone,1.068356,0.281951,0
phone,1.36773,0.3899992,29
phone,1.602917,0.6100077,13
phone,0.8264715,0.3154979,25
phone,0.8411022,0.2388,33
phone,1.137218,0.3607787,28
phone,1.588439,0.7605592,15
phone,1.703982,0.6144193,21
phone,1.114438,0.3196245,30
phone,0.8708673,0.26817,28
phone,1.313431,0.4857634,20
phone,1.267478,0.2766384,27
phone,0.8815411,0.2303775,30
phone,1.878386,0.895411,10
phone,0.9644924,0.2834624,29
phone,1.423814,0.4542389,22
phone,1.235859,0.579906,14
phone,1.229981,0.2711776,31
phone,0.95567,0.1959792,29
phone,0.9067292,0.3178858,30
